City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mawu,29.5923,107.3139,19.47,71,32,0.96,CN,1697418189
1,ribeira grande,38.5167,-28.7,21.54,91,61,8.94,PT,1697418189
2,grytviken,-54.2811,-36.5092,0.34,88,100,4.7,GS,1697418190
3,christchurch,-43.5333,172.6333,18.3,40,20,5.14,NZ,1697417544
4,poiares,40.2103,-8.2575,19.51,94,100,1.61,PT,1697418190
5,thompson,55.7435,-97.8558,6.09,87,20,0.0,CA,1697417774
6,whitehorse,60.7161,-135.0538,9.43,68,20,6.71,CA,1697418191
7,stanley,54.868,-1.6985,3.49,92,0,1.54,GB,1697418191
8,port-aux-francais,-49.35,70.2167,1.59,72,99,9.92,TF,1697418192
9,mana,5.6592,-53.7767,27.38,82,100,5.51,GF,1697418192
10,adamstown,-25.066,-130.1015,22.15,78,77,2.19,PN,1697418192
11,holyhead,53.3062,-4.6321,7.21,81,20,2.06,GB,1697418193
12,olonkinbyen,70.9221,-8.7187,0.3,70,100,3.58,SJ,1697418193
13,piacabucu,-10.4056,-36.4344,23.99,74,2,4.58,BR,1697418194
14,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,88,75,4.0,RU,1697417774
15,kavaratti,10.5669,72.642,27.49,71,77,1.54,IN,1697418195
16,chibougamau,49.9168,-74.3659,9.79,76,0,3.09,CA,1697417767
17,el galpon,-25.3807,-64.6526,26.9,43,9,2.22,AR,1697418195
18,mili,6.0815,171.735,28.42,72,98,4.28,MH,1697418195
19,tiksi,71.6872,128.8694,-8.27,90,100,7.25,RU,1697418196
20,edinburgh of the seven seas,-37.0676,-12.3116,11.63,69,3,10.91,SH,1697418196
21,goure,13.9835,10.2704,29.32,21,29,3.64,NE,1697418197
22,lebu,-37.6167,-73.65,9.82,74,0,7.71,CL,1697418197
23,fort bragg,35.139,-79.006,14.39,76,100,1.54,US,1697418197
24,torre-pacheco,37.7429,-0.954,20.86,80,100,1.54,ES,1697418198
25,mhamid,29.82,-5.72,24.95,23,99,1.61,MA,1697418198
26,qalat,32.1058,66.9083,9.97,77,1,2.47,AF,1697418198
27,kill devil hills,36.0307,-75.676,14.99,69,40,3.09,US,1697418199
28,tadine,-21.55,167.8833,24.06,76,97,7.31,NC,1697418199
29,albany,42.6001,-73.9662,9.67,81,100,4.92,US,1697418061
30,sirte,31.2089,16.5887,21.91,64,0,1.32,LY,1697418200
31,codrington,-38.2667,141.9667,13.58,49,71,9.94,AU,1697417777
32,mount isa,-20.7333,139.5,30.87,14,0,8.23,AU,1697418051
33,glace bay,46.1969,-59.957,12.34,93,100,5.81,CA,1697418158
